name,ra,dec,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z,yAperMag3_AB,yAperMag3Err_AB
SDSS J104652.75-005619.7,161.71983005058144,-0.938820498845875,20.20934,0.039665353,17.976631,0.015740559,17.009642,0.018871114,16.659447,0.014383116,16.458385,0.01415753,16.4343,0.006315397
SDSS J104704.92-005918.7,161.77050624582014,-0.9885340165625871,22.071302,0.16122636,19.466396,0.01814477,18.058468,0.019358516,17.3085,0.014714,16.895164,0.015329563,16.7656,0.0063634054
SDSS J104658.01-005915.8,161.74172691674895,-0.9877498185552478,16.099146,0.015330857,14.84952,0.015158016,14.392611,0.018666798,14.250509,0.014151026,14.227153,0.012550608,14.4102,0.0022218225
SDSS J104657.19-005915.3,161.73830368681877,-0.9875853015383773,21.125208,0.07989033,19.751453,0.019494228,19.197853,0.021320509,18.999273,0.019388322,18.94653,0.04658414,18.918,0.035663515
SDSS J104657.89-005042.2,161.74121832757427,-0.8450732744965335,21.417881,0.16631018,18.900988,0.045146488,17.437685,0.022298459,16.323166,0.01523556,15.763707,0.0131865395,15.5744,0.003298849
SDSS J104657.99-005045.7,161.74164670112117,-0.8460293683936884,17.710945,0.016879274,17.886322,0.017313642,18.16253,0.05106747,18.402266,0.1462776,18.720974,0.14263836,19.0795,0.031076351
SDSS J104715.00-005324.4,161.8125037602534,-0.890121213483426,21.582514,0.10910217,20.585907,0.026546111,20.251144,0.030866764,20.052956,0.03446599,20.110235,0.13030706,20.2022,0.08035923
SDSS J104719.53-005233.4,161.83139117526554,-0.8759473445658511,21.623993,0.112483315,20.144817,0.021779632,19.420134,0.022199325,19.182404,0.020276908,19.034393,0.045122027,19.033,0.030262876
SDSS J104701.71-005905.2,161.75715118481708,-0.9847943185873551,22.091888,0.16365343,20.52039,0.025126358,19.85598,0.025064075,19.605148,0.024728248,19.526192,0.071957774,19.6075,0.063795276
SDSS J104702.86-010135.7,161.76193604679997,-1.026592411762449,22.140871,0.16996917,21.63653,0.049646024,21.269526,0.055968463,21.169188,0.07838624,20.663687,0.19450106,0.634,
